Clapeyron Database File
NRTL unlike Parameters
species1,species2,a,b,c
cyclohexane,methanol,0.99,56,0.2
methanol,cyclohexane,-7.03,2610,0.2
water,ethanol,190.47,,
ethanol,water,130.17,,
